Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2020-000555,2/18/2020,8:37:00 PM,TORONTO TRACK and FIELD CENTRE,Suspicious Persons,Subject Identified,Security responded to a report from the track centre staff that a community member made an inappropriate comment towards another patron. The community member was no longer on scene but was identified by the complainant. Toronto Police were notified.
2020-000558,2/18/2020,11:00:00 PM,YORK BLVD,Emergency Medical,Slip\Trip\Fall,A Security patrol observed a community member slip and fall while walking on the Common. No injuries were reported.
2020-000556,2/18/2020,11:30:00 PM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered two previously trespassed non-community members in the building. The individuals were identified and accepted assistance for locating housing. Members of the Toronto Streets to Homes program attended and escorted the individuals off campus.
2020-000557,2/19/2020,12:11:00 AM,BEHAVIOURAL SCIENCE BUILDING,"Mischief, Under $5000",University Property,A Security patrol discovered two building entry doors had been tampered with rendering the building insecure. The doors were secured.
2020-000559,2/19/2020,2:19:00 AM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,Security responded to a report of deliberate damage to a second floor classroom door. The Work Control Centre was notified.
2020-000560,2/19/2020,9:06:00 AM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2020-000562,2/19/2020,10:39:00 AM,KEELE CAMPUS RESIDENCE,Assault,Sexual,A community member reported being sexually harassed by another known community member. The survivor is being provided with support from the Centre for Sexual Violence Response and Education and was provided with information on community resources and campus services.
2020-000561,2/19/2020,11:15:00 AM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Complainant reported a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000564,2/19/2020,5:55:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. A group of unidentified males observed smoking in a stairwell were cautioned and directed to leave the building.
2020-000565,2/19/2020,6:36:00 PM,PARKING LOT - YORK BLVD RESERVED,"Mischief, Under $5000",Private Property,Complainant reported their vehicle sunroof was smashed while the vehicle was parked in the lot.
2020-000566,2/19/2020,7:55:00 PM,TAIT MCKENZIE BLDG,Disorderly Behaviour,Belligerent Person,Security responded to a report that a community member was inside the fitness centre without authorization and refused to leave when requested to do so by staff. The community member acted in a belligerent manner towards staff and the responding Security officials before leaving the building.
2020-000567,2/19/2020,8:08:00 PM,KEELE CAMPUS,Harassment,Criminal\ Stalking,"A community member reported ongoing harassment by a known non-community member both on and off campus. The community member has been provided with information on contacting police, community resources and other campus services."
2020-000568,2/19/2020,9:32:00 PM,90 ATKINSON ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was not determined.
2020-000569,2/19/2020,11:16:00 PM,360 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be excessive television volume inside an apartment. The leaseholder was identified and requested to lower the volume.
2020-000570,2/20/2020,12:49:00 AM,COLONNADE,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was observed consuming alcohol in the south Colonnade. The individual was identified and escorted off campus.
2020-000571,2/20/2020,2:54:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,Security responded to a report that an unknown male was asleep inside a storage room. The individual was identified as a non-community member and was directed to relocate to a common area.
2020-000572,2/20/2020,8:04:00 AM,FOUNDERS COLLEGE,Trespass to Property Act,Non-Community Member,Security and Toronto Police responded to a report that a previously trespassed non- community member was observed in the building. The individual was not located.
2020-000573,2/20/2020,9:57:00 AM,MCLAUGHLIN COLLEGE,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint. Upon arrival, the area was vacant."
2020-000582,2/20/2020,1:00:00 PM,CAMPUS WALK,Harassment,Sexual,A community member reported being sexually harassed by a known community member. The survivor is being provided with support from the Centre for Sexual Violence Response and Education and was provided with information on other community resources and campus services.
2020-000574,2/20/2020,1:01:00 PM,CENTRAL SQUARE,Disorderly Behaviour,Alcohol - open in public place,Security responded to a report of an unknown male consuming alcohol in the building. A description of the male was obtained.
2020-000576,2/20/2020,1:38:00 PM,YORK LANES RETAIL,Harassment,Sexual,A community member reported being sexually harassed by a known non- community member. The survivor was provided information on the Centre for Sexual Violence Response and Education and other community resources and campus services.
2020-000578,2/20/2020,4:24:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2020-000579,2/20/2020,4:42:00 PM,BENNETT CENTRE FOR STUDENT SERVICES,Emergency Medical,Sudden Illness,"Security, Toronto Police and EMS responded to a report of a community member in distress. EMS transported the individual to hospital for further medical care."
2020-000580,2/21/2020,6:51:00 AM,SCHULICH SCHOOL OF BUSINESS,Trespass to Property Act,Non-Community Member,"Security responded to a report of a previously trespassed non-community member asleep in the building. Upon arrival, the individual was no longer on site."
2020-000585,2/21/2020,2:09:00 PM,SCOTT LIBRARY,"Mischief, Under $5000",University Property,Complainant reported deliberate damage to a computer monitor.
2020-000587,2/21/2020,5:11:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a computer tablet left unattended on the fourth floor.
2020-000588,2/21/2020,6:11:00 PM,TORONTO TRACK and FIELD CENTRE,Disorderly Behaviour,Unauthorized Activities,Security responded to a report that a known non-community member was acting in a disorderly manner and refused to leave the building. The individual was identified and escorted out of the building.
2020-000589,2/21/2020,9:11:00 PM,SECOND STUDENT CENTRE,Domestic Dispute,Community Member,"Security responded to a report of two community members involved in a domestic dispute. Upon arrival, the involved individuals had parted ways."
2020-000591,2/22/2020,3:18:00 AM,340 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was and the leaseholder was directed to lower the noise level.
2020-000594,2/22/2020,1:47:00 PM,FIRST STUDENT CENTRE,Trespass to Property Act,Non-Community Member,Security responded to a report of an intoxicated male causing a disturbance in the building. The male was identified as a previously trespassed non-community member and was directed to leave campus.
2020-000595,2/22/2020,5:10:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2020-000598,2/22/2020,7:50:00 PM,90 ATKINSON ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,Security responded to a report of the odour of cannabis smoke in the third floor hallway. The source of the smoke was not determined.
2020-000597,2/22/2020,9:51:00 PM,IAN MAC BLVD and CHIMNEYSTACK,Emergency Medical,Sudden Illness,Security and EMS responded to a report of an intoxicated male in need of medical care. EMS transported the unidentified individual to hospital for further medical care.
2020-000599,2/22/2020,10:38:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,"Security responded to a noise complaint. The source of the noise was determined to be a loud gathering inside an apartment. The leaseholder was identified, cautioned and directed to lower the noise level."
2020-000600,2/23/2020,5:47:00 AM,FOUNDERS RESIDENCE,Fire Alarm,Unintentional Activation,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be smoke from burnt paper inside a fourth floor washroom.
2020-000601,2/23/2020,8:52:00 AM,PROCTOR FIELD HOUSE,"Theft, Under $5000",Private Property,Complainant reported the theft of a quantity of money left unattended inside an insecure locker.
2020-000602,2/23/2020,5:46:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a cellular phone left unattended on the fifth floor.
2020-000603,2/23/2020,10:32:00 PM,WILLIAM SMALL CENTRE,Emergency Medical,Slip\Trip\Fall,Security responded to a report that a community member fell and sustained a knee injury. First aid was provided on scene. Further medical care was declined.
2020-000605,2/24/2020,12:18:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),"Mischief, Under $5000",Private Property,Security and Toronto Police responded to investigate three unknown males who were observed on CCTV tampering with a parked vehicle. The males were identified as community members and cautioned by police.
2020-000604,2/24/2020,12:39:00 PM,IGNAT KANEFF BUILDING (OSGOODE HALL LAW SCHOOL),"Theft, Under $5000",Private Property,A community member reported the theft of a mirror from a secure locker. Evidence of forced entry was observed.
2020-000606,2/24/2020,1:33:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Information,Health & Safety Concern,Security responded to check on the well- being of a community member. The individual declined assistance and left the building.
2020-000607,2/24/2020,1:38:00 PM,CENTRAL SQUARE,Suspicious Persons,Subject not Identified,Security responded to a report of an unknown persons loitering in a basement level stairwell. There was evidence that someone was staying in the area. The Work Control Centre was notified.
2020-000608,2/24/2020,2:10:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Fraud,Parking Related,A community member reported a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000611,2/24/2020,3:11:00 PM,KEELE CAMPUS,Harassment,General,A non-community member reported being harassed by a community member.
2020-000609,2/24/2020,3:11:00 PM,SCOTT LIBRARY,Suspicious Persons,Subject not Identified,A Security Official on patrol of the library received information regarding an unknown male acting in a suspicious manner. A description of the male was obtained.
2020-000610,2/24/2020,3:27:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2020-000612,2/24/2020,4:38:00 PM,PETRIE SCIENCE and ENGINEERING,"Disturbance, Causing",Common Nuisance,Security and Toronto Police responded to a report that a community member sent a concerning text message to another community member. The individual was cautioned and transported by police to their off campus residence.
2020-000613,2/24/2020,5:41:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the first floor.
2020-000614,2/24/2020,6:11:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Fraud,Parking Related,A community member reported a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000615,2/24/2020,6:12:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Fraud,Parking Related,A community member reported a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000617,2/24/2020,7:05:00 PM,SCOTT LIBRARY,Emergency Medical,Sudden Illness,"Security, Toronto Police, and EMS responded to a report of an intoxicated community member in need of medical care. EMS transported the individual to hospital for further medical care."
2020-000618,2/24/2020,8:29:00 PM,POND ROAD and SENTINEL RD,Assault,Common,A community member reported an unknown male pedestrian spat on him following a verbal altercation. No injuries were reported.
2020-000624,2/24/2020,9:26:00 PM,ROSS BUILDING - SOUTH TOWER,Fire Alarm,Malicious Activation,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station."
2020-000622,2/24/2020,10:51:00 PM,CALUMET RESIDENCE,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of a community member experiencing symptoms of an allergic reaction. EMS transported the individual to hospital for further medical care."
2020-000621,2/24/2020,10:53:00 PM,360 ASSINIBOINE ROAD RESIDENCE,Emergency Medical,Sudden Illness,Security responded to a report of a community member experiencing a sudden illness. EMS was declined and the individual was transported to hospital in the care of a friend.
2020-000620,2/24/2020,10:56:00 PM,90 ATKINSON ROAD RESIDENCE,Mental Health Act,Community Member,Security and Toronto Police responded to a report of a community member in distress. The individual was taken into custody by police and transported to hospital for further medical care.
2020-000623,2/25/2020,2:44:00 AM,ROSS BUILDING - NORTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. When approached the individual fled on foot from the building.
2020-000625,2/25/2020,3:03:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,A Security patrol encountered a known non-community member asleep inside a lecture hall. The individual was identified and directed to leave campus.
2020-000626,2/25/2020,8:41:00 AM,BERGERON ENGINEERING BUILDING,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male asleep in the lobby. The male was unable to provide identification and was not a community member. He was trespassed and escorted off campus.
2020-000630,2/25/2020,9:05:00 AM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,"Security responded to a report that an unknown male had followed a community member and demonstrated concerning behaviour. Upon arrival, the male acted in a belligerent manner towards the responding Security Official. He was identified as a former community member and was directed to leave campus."
2020-000631,2/25/2020,10:34:00 AM,380 ASSINIBOINE ROAD RESIDENCE,Domestic Dispute,Community Member,Security and Toronto Police responded to a report of two individuals involved in a dispute in the lobby. The involved individuals were identified as residents.
2020-000629,2/25/2020,11:37:00 AM,LIFE SCIENCES BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer from a second floor lab.
2020-000632,2/25/2020,2:03:00 PM,CENTRAL SQUARE,Disorderly Behaviour,Unauthorized Activities,"Security responded to a report that a student group was tabling without authorization. Upon arrival, the group had dispersed."
2020-000635,2/25/2020,4:12:00 PM,BENNETT CENTRE FOR STUDENT SERVICES,Emergency Medical,Sudden Illness,"Security, Toronto Police and EMS responded to a report of a community member in distress. The individual was transported to hospital for further medical care."
2020-000633,2/25/2020,4:25:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a backpack left unattended on the second floor.
2020-000634,2/25/2020,4:44:00 PM,FIRST STUDENT CENTRE - UNDERGROUND,Disorderly Behaviour,Belligerent Person,Security responded to a report of three patrons acting in a belligerent manner inside the Underground. A community member was identified and cautioned.
2020-000636,2/25/2020,6:38:00 PM,VARI HALL,Disorderly Behaviour,Fighting,Security responded to a report of three individuals involved in a physical altercation on the third floor. Two community members and a non- community member were identified. No injuries were reported.
2020-000638,2/25/2020,7:12:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the fourth floor.
2020-000637,2/25/2020,8:24:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Fraud,Parking Related,Complainant reported a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000639,2/25/2020,8:47:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Mental Health Act,Community Member,Security and Toronto Police responded to a report of a community member in distress. The individual was taken into custody by police and transported to hospital for further medical care.
2020-000640,2/25/2020,11:48:00 PM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,Security responded to a report of deliberate damage to a first floor classroom door and furnishings. The Work Control Centre was notified.
2020-000641,2/26/2020,2:27:00 AM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,"A Security patrol encountered a previously trespassed non-community member in the building. When approached, the individual fled on foot."
2020-000642,2/26/2020,5:00:00 AM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A community member reported unknown persons had unravelled a roll of bathroom tissue on the first floor. Custodial Services was notified.
2020-000643,2/26/2020,5:36:00 AM,SENTINEL ROAD,Assault,Common,A community member reported being struck by eggs thrown from a passing vehicle. No injuries were reported.
2020-000644,2/26/2020,8:20:00 AM,PARKING GARAGE - ARBORETUM LANE (PS2),Motor Vehicle Incident,Fail to Remain,A community member reported their vehicle was struck and damaged while parked in the garage.
2020-000645,2/26/2020,8:22:00 AM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,Security responded to a report of deliberate damage to furnishing inside a first floor classroom. The Work Control Centre was notified.
2020-000646,2/26/2020,8:42:00 AM,PARKING GARAGE - ARBORETUM LANE (PS2),"Mischief, Under $5000",Private Property,Complainant reported their vehicle was scratched while parked in the garage.
2020-000648,2/26/2020,8:12:00 PM,THOMPSON ROAD,Robbery Attempt,With a Weapon,Security and Toronto Police responded to a report of a robbery attempt. Three community members reported they were confronted and told to exit their vehicle by two male suspects in possession of a weapon. The suspects left empty-handed in the direction of the Aviva Centre. No injuries reported. The Toronto Police investigation is ongoing.
2020-000650,2/26/2020,11:05:00 PM,90 ATKINSON ROAD RESIDENCE,Smoking Complaint,Caution Issued,A resident reported their room mate was smoking in their apartment. Housing Services was notified.
2020-000651,2/27/2020,12:10:00 AM,360 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Caution Issued,Security responded to a smoking complaint. The source of the smoke was located and a resident was identified and cautioned.
2020-000652,2/27/2020,12:52:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer that was left in the care of an unknown male on the third floor. A description of the suspect was obtained.
2020-000657,2/27/2020,1:02:00 PM,SCHULICH SCHOOL OF BUSINESS,Domestic Dispute,Community Member,Security responded to a report of a dispute between two community members. No injuries were reported. The involved parties were cautioned and directed to part ways.
2020-000653,2/27/2020,1:15:00 PM,PARKING LOT - SENTINEL ROAD EAST RESERVED,Motor Vehicle Incident,Fail to Remain,Complainant reported their vehicle was struck and damaged while parked in the lot.
2020-000654,2/27/2020,1:22:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer on the second floor.
2020-000656,2/27/2020,3:08:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2020-000655,2/27/2020,1:45:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a backpack containing a laptop computer while asleep at a fifth floor study carrel.
2020-000658,2/27/2020,3:50:00 PM,MCLAUGHLIN COLLEGE,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint. Upon arrival, the source of the smoke was not determined."
2020-000659,2/27/2020,7:49:00 PM,FIRST STUDENT CENTRE,Information,General Complaint\Conc ern,A Security patrol discovered an unauthorized poster on the first floor. The poster was removed.
2020-000660,2/27/2020,8:13:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a wallet and clothing items left unattended in a hallway.
2020-000664,2/27/2020,9:00:00 PM,SECOND STUDENT CENTRE,"Disturbance, Causing",Indecent Exhibition,A Security patrol encountered two individuals engaged in sexual activity in the loading dock area. The involved individuals confirmed their presence and activity was consensual. They were cautioned and directed to leave the building.
2020-000662,2/27/2020,9:06:00 PM,SECOND STUDENT CENTRE,Robbery Attempt,With a Weapon,Security and Toronto Police responded to investigate a report of a robbery attempt that occurred in the Second Student Centre two days prior. A community member reported he was approached in the building by two unknown males. One of the suspects produced a knife and demanded the community member hand over his shoes and cellular phone. The community member refused and an altercation ensued before the suspects fled on foot. No injuries were reported. Descriptions of the suspects were obtained.
2020-000673,2/27/2020,9:27:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a winter jacket left unattended on the fifth floor.
2020-000665,2/27/2020,10:27:00 PM,ACCOLADE EAST,"Theft, Under $5000",Private Property,Complainant reported the theft of footwear left unattended in a first floor hallway.
2020-000666,2/28/2020,2:00:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,Security responded to a report that an unknown male was loitering inside a lecture hall and acted in a belligerent manner towards a community member. The male refused to provide identification and was escorted off campus.
2020-000667,2/28/2020,3:07:00 AM,FOUNDERS RESIDENCE,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered a group of community members inside the common room. One individual had set fire to a pizza box. The fire was extinguished. The involved community members were identified and cautioned. Residence Life staff was notified
2020-000669,2/28/2020,9:56:00 AM,ACCOLADE EAST,Emergency Medical,Sudden Illness,Security responded to a report of a community member experiencing a sudden illness. Medical care was declined and the individual left campus in the care of a family member.
2020-000671,2/28/2020,11:29:00 AM,VANIER COLLEGE,Information,General Complaint\ Concern,A community member reported a sleeping bag and property found inside a second floor storage room.
2020-000672,2/28/2020,3:11:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2020-000675,2/28/2020,7:26:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a handbag left unattended on the fifth floor.
2020-000676,2/28/2020,7:48:00 PM,PARKING LOT 5 - NORTH WEST GATE RESERVED,Emergency Medical,Slip\Trip\Fall,A community member reported a slip and fall incident in the parking lot the previous day. The individual attended a hospital and was treated for an injury.
2020-000677,2/28/2020,7:52:00 PM,GLENDON COLLEGE - PROCTOR FIELD HOUSE,"Theft, Under $5000",Private Property,Complainant reported the theft of cash from a secure locker. Evidence of forced entry was observed.
2020-000678,2/29/2020,1:33:00 AM,FOUNDERS COLLEGE,Trespass to Property Act,Non-Community Member,"A Security patrol encountered two non- community members loitering inside the student lounge. One male was uncooperative, refused to provide identification and was escorted off campus."
2020-000679,2/29/2020,2:10:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,A Security patrol encountered a known non-community member asleep in a lecture hall. The individual was identified and directed to relocate to a common area.
2020-000681,2/29/2020,3:02:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2020-000682,2/29/2020,3:09:00 PM,KEELE CAMPUS,Fraud,Email / Personation,A community member reported receiving an email from an unknown person who was impersonating another community member. The suspect requested that the complainant purchase a large quantity of gift card and send the pin codes to them.
2020-000683,2/29/2020,11:32:00 PM,GLENDON COLLEGE - WOOD RESIDENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing symptoms of anxiety. EMS assessed the individual on scene. Further medical care was declined.
2020-000684,3/1/2020,1:03:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,"Complainant reported the theft of a winter jacket, laptop computer and wallet left unattended on the fifth floor."
2020-000685,3/1/2020,2:43:00 PM,GOLDFARB CENTRE FOR FINE ARTS,"Theft, Under $5000",Private Property,"A community member reported the theft of a sculpture, cash and bank card from a secure studio locker. Toronto Police were notified by the complainant."
2020-000686,3/1/2020,4:37:00 PM,GLENDON COLLEGE - PROCTOR FIELD HOUSE,"Theft, Under $5000",Private Property,Complainant reported the theft of a wrist watch from a secure locker. Evidence of forced entry was observed.
2020-000687,3/1/2020,4:51:00 PM,GOLDFARB CENTRE FOR FINE ARTS,Suspicious Persons,Subject not Identified,Security responded to a report of an unknown male who appeared to be intoxicated and acted in a concerning manner. A description of the male was obtained.
2020-000690,3/1/2020,7:33:00 PM,ACCOLADE EAST,Suspicious Persons,Subject not Identified,Security responded to a report of an unknown male searching lockers and checking doors on the second floor. A description of the male was obtained.
2020-000689,3/1/2020,8:57:00 PM,ROSS BUILDING - NORTH TOWER,"Theft, Under $5000",Private Property,Complainant reported the theft of a winter jacket left unattended in the third floor hallway.
2020-000692,3/1/2020,9:43:00 PM,PASSY RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2020-000691,3/1/2020,10:25:00 PM,ACCOLADE EAST,"Mischief, Under $5000",University Property,Security responded to a report of deliberate damage to an access control card reader located on the second floor.
2020-000695,3/2/2020,9:58:00 AM,GOLDFARB CENTRE FOR FINE ARTS,Break & Enter,University Property,Security and Toronto Police responded to a report of a break and enter on the second floor. Evidence of forced entry was observed. The Work Control Centre was notified.
2020-000774,3/2/2020,10:03:00 AM,GOLDFARB CENTRE FOR FINE ARTS,"Theft, Under $5000",University Property,Security and Toronto Police responded to a report of the theft of computer equipment from a basement level lab. Evidence of forced entry was observed.
2020-000697,3/2/2020,2:23:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2020-000696,3/2/2020,2:36:00 PM,GLENDON COLLEGE - PROCTOR FIELD HOUSE,"Theft, Over $5000",Private Property,Complainant reported the theft of a wristwatch and cash from a secure locker.
2020-000699,3/3/2020,7:00:00 AM,GLENDON COLLEGE -MAIN GATEHOUSE,"Mischief, Under $5000",Private Property,Security responded to a report of an attempted forced entry into a construction site.
2020-000698,3/3/2020,7:07:00 AM,ROSS BUILDING - SOUTH TOWER,Information,Health & Safety Concern,Security responded to check on the well- being of an individual who was inside a fourth floor washroom for a prolonged period. The individual was identified as a community member and all was reported to be in order.
2020-000700,3/3/2020,11:37:00 AM,FINE ARTS ROAD,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a collision between two vehicles on Fine Arts Road. No injuries were reported.
2020-000703,3/3/2020,12:31:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2020-000710,3/3/2020,12:45:00 PM,YORK LANES OFFICES,Information,Health & Safety Concern,Security responded to investigate a report of an unknown male in distress. A description of the male was obtained.
2020-000702,3/3/2020,12:46:00 PM,GLENDON COLLEGE - CENTRAL SERVICES BUILDING,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing chest pain. EMS transported the individual to hospital for further medical care.
2020-000706,3/3/2020,2:38:00 PM,ROSS BUILDING - NORTH TOWER,Disorderly Behaviour,Academic,Security responded to a report that a community member was acting in a belligerent manner and refused to leave a lab that was booked for academic purposes. Other community members waiting for their scheduled lab were relocated as a safety precaution. The individual left the room when police were requested to attend.
2020-000709,3/3/2020,3:20:00 PM,ACCOLADE EAST,Suspicious Persons,Subject not Identified,Security responded to a report of an unknown male attempting to gain entry to several second floor rooms. A description of the male was obtained.
2020-000707,3/3/2020,3:41:00 PM,VARI HALL,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a community member fainted inside a second floor washroom. EMS transported the individual to hospital for further medical care.
2020-000708,3/3/2020,4:27:00 PM,GLENDON COLLEGE - GLENDON HALL,Emergency Medical,Sudden Illness,Security and EMS responded to a report of an individual in distress. EMS transported an unidentified person to hospital for further medical care.
2020-000712,3/3/2020,6:15:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor
2020-000713,3/3/2020,7:39:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Complainant reported a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained. Parking Enforcement was notified.
2020-000716,3/3/2020,9:26:00 PM,ACCOLADE EAST,Suspicious Persons,Subject not Identified,Security responded to a report of the unauthorized use of a locker on the second floor.
2020-000715,3/3/2020,10:35:00 PM,VARI HALL,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a lecture hall.
2020-000737,3/4/2020,11:40:00 AM,VARI HALL,Suspicious Persons,Subject not Identified,A community member reported unknown persons are sleeping inside the second floor office area.
2020-000718,3/4/2020,12:26:00 PM,TAIT MCKENZIE BLDG,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of an unresponsive community member in the fitness centre. EMS assessed the individual on scene. Further medical care was declined."
2020-000722,3/4/2020,2:20:00 PM,PARKING LOT - Calumet Reserved,"Disturbance, Causing",Common Nuisance,"Security responded to a report of a disturbance in the parking lot. Upon arrival, the group had dispersed."
2020-000721  ,3/4/2020,2:32:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2020-000723,3/4/2020,4:31:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2020-000720,3/4/2020,2:32:00 PM,BENNETT CENTRE FOR STUDENT SERVICES,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member in distress. EMS transported the individual to hospital for further medical care.
2020-000726,3/4/2020,8:02:00 PM,YORK LANES RETAIL,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male who appeared to be intoxicated and was acting in a disorderly manner. The male was identified as a previously trespassed non-community member and was directed to leave campus.
2020-000725,3/4/2020,10:10:00 PM,VARI HALL,Harassment,General,A community member reported ongoing harassment by another known community member.
2020-000730,3/4/2020,11:31:00 PM,CALUMET COLLEGE,Smoking Complaint,Caution Issued,A Security patrol encountered a group of individuals smoking cannabis inside a stairwell. The group was cautioned and directed to leave the building.
2020-000731,3/5/2020,12:13:00 AM,WINTERS COLLEGE,Information,Health & Safety Concern,Security responded to check on the well- being of a known non-community member. The individual was offered and accepted assistance from Toronto Streets to Homes and was escorted off campus.
