Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2021-000676,4/5/2021,8:41:00 AM,MCLAUGHLIN COLLEGE,Trespass to Property Act,Non-Community Member,Security responded to a report of a an unknown male asleep in a basement level hallway. The individual was identified and as a previously trespassed non-community member and directed to leave campus.
2021-000680,4/5/2021,2:53:00 PM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000681,4/5/2021,3:35:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate damage to sanitizer dispensers located in the first floor east hallway. The Work Control Centre was notified.
2021-000682,4/5/2021,3:37:00 PM,WINTERS COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000686,4/6/2021,8:06:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering on the second floor. The individual was identified and escorted off campus.
2021-000687,4/6/2021,9:00:00 AM,ROSS BUILDING - NORTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering on the second floor. The individual was identified and escorted off campus.
2021-000688,4/6/2021,11:19:00 AM,GLENDON COLLEGE - LOWER FIELD,"Mischief, Under $5000",University Property,A Security patrol discovered a picnic table from the lower playing field had been moved and put into the Don River. The Work Control Centre was notified.
2021-000689,4/6/2021,2:34:00 PM,YORK LANES RETAIL,Damage,University Property,A Security patrol discovered a section of exterior brick and plaster fascia had been damaged. The cause of the damage was not determined. The Work Control Centre was notified.
2021-000692,4/6/2021,2:42:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint. Upon arrival, all appeared to be in order."
2021-000690,4/6/2021,3:25:00 PM,VARI HALL,Fire Alarm,Contractor\ Construction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be contractors working in the building."
2021-000695,4/6/2021,9:14:00 PM,YORK LANES RETAIL,Suspicious Persons,Subject not Identified,A community member reported an unknown male appeared to follow them while walking from Accolade East Building to York Lanes. A description of the male was obtained.
2021-000696,4/7/2021,2:08:00 AM,320 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint. Upon arrival, all appeared to be in order."
2021-000697,4/7/2021,8:53:00 AM,PETRIE SCIENCE and ENGINEERING,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure storage room. The lock had been tampered with and was secured.
2021-000698,4/7/2021,10:06:00 AM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a basement level hallway. The individual was identified and directed to leave campus.
2021-000701,4/7/2021,2:02:00 PM,ROSS BUILDING - NORTH TOWER,Fire Alarm,Contractor\ Construction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be unintentional activation by contractors working in the building."
2021-000704,4/7/2021,2:55:00 PM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a basement level hallway. The individual was identified and directed to leave campus.
2021-000705,4/7/2021,3:17:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000707,4/7/2021,11:34:00 PM,YORK LANES OFFICES,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering inside an office area. The male refused to provide identification and was escorted out of the building.
2021-000708,4/8/2021,12:20:00 AM,PASSY RESIDENCE,Fire Alarm,Malicious Activation,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station. A suspect was identified.
2021-000709,4/8/2021,3:34:00 AM,PASSY RESIDENCE,Fire Alarm,Malicious Activation,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station. The suspect was identified and Toronto Police notified.
2021-000710,4/8/2021,8:59:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male asleep in a stairwell. The male was identified as a previously trespassed non-community member and directed to leave campus.
2021-000712,4/9/2021,1:27:00 AM,LASSONDE BUILDING,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male asleep in a basement level hallway. The male was directed to leave the building. A description was obtained.
2021-000713,4/9/2021,1:40:00 AM,340 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be a loud gathering of individuals inside an apartment. The leaseholder was identified and requested to lower the noise level.
2021-000714,4/9/2021,5:17:00 AM,ROSS\VARI LINK,Emergency Medical,Injury,Security and EMS responded to a report that a community member sustained a laceration to their finger. First aid was provided on scene and EMS transported the individual to hospital for further medical care.
2021-000715,4/9/2021,9:39:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep inside a second floor office suite. The individual was identified and escorted off campus.
2021-000722,4/9/2021,11:44:00 PM,GLENDON COLLEGE - PARKING LOT G,Fire (Actual),Bonfire\Campfire,A Security patrol encountered a large group of individuals gathered around a campfire. The group was cautioned and directed to leave campus. The campfire was extinguished.
2021-000724,4/10/2021,9:55:00 AM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure door to the roof. The lock had been tampered with could not be secured. Housing Services was notified.
2021-000725,4/10/2021,2:57:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door on the second floor podium level. The lock had been tampered with and was secured.
2021-000726,4/10/2021,3:23:00 PM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door on the second floor podium level. The lock had been tampered with and was secured.
2021-000729,4/10/2021,5:12:00 PM,STONG BARN,Damage,University Property,A Security patrol discovered damaged fencing at the Stong Farm House barn. The cause of the damage was not determined. The Work Control Centre was notified.
2021-000732,4/11/2021,2:57:00 AM,90 ATKINSON ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be machinery located inside a mechanical room. Housing Services was notified.
2021-000733,4/11/2021,9:30:00 AM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in the building. The individual was identified and escorted off campus.
2021-000735,4/11/2021,9:47:00 AM,FARQUHARSON BUILDING,Trespass to Property Act,Non-Community Member,"Security responded to a report of a previously trespassed non-community member asleep on the second floor. The individual was identified and directed to leave campus, however, he was found a short time later in the Chemistry Building. The individual was cautioned and escorted off campus."
2021-000734,4/11/2021,9:51:00 AM,LASSONDE BUILDING,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000736,4/11/2021,9:54:00 AM,VARI HALL,"Mischief, Under $5000",University Property,A Security patrol discovered graffiti written in a stairwell. The Work Control Centre was notified.
2021-000737,4/11/2021,10:02:00 AM,STEACIE SCIENCE AND ENGINEERING BLDG,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000738,4/11/2021,10:35:00 AM,KEELE CAMPUS RESIDENCE,Information,Health & Safety Concern,Security and Residence Life staff responded to check on the well-being of a community member. The individual was located and all was reported to be in order.
2021-000740,4/11/2021,2:37:00 PM,COLONNADE,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male leering and making community members feel uncomfortable. The male was identified as a previously trespassed non-community member and escorted off campus.
2021-000739,4/11/2021,4:15:00 PM,380 ASSINIBOINE ROAD RESIDENCE,Information,Elevator Entrapment,Security and Toronto Fire responded to a report of an elevator entrapment. Toronto Fire assisted the individual to exit the elevator without incident. The Work Control Centre was notified.
2021-000742,4/11/2021,10:21:00 PM,YORK LANES OFFICES,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male asleep inside an office area. The male refused to provide identification and was escorted out of the building.
2021-000744,4/12/2021,12:00:00 AM,LUMBERS BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in the Lumbers/Farquharson link. The individual was identified and directed to leave campus.
2021-000743,4/12/2021,12:08:00 AM,COLONNADE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in the North Colonnade. The individual was identified and directed to leave campus.
2021-000745,4/12/2021,5:17:00 AM,PASSY RESIDENCE,Fire Alarm,Malicious Activation,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station.
2021-000747,4/12/2021,5:45:00 AM,FOUNDERS COLLEGE,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male asleep in the hallway link between Founders and Vanier Colleges. The individual was identified as a previously trespassed non-community member and escorted off campus.
2021-000746,4/12/2021,5:55:00 AM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate damage to a third floor hallway light fixture. A fire extinguisher has also been tampered with. The Work Control Centre was notified.
2021-000748,4/12/2021,8:51:00 AM,YORK LANES RETAIL,Emergency Medical,Sudden Illness,A Security patrol encountered a known non-community member asleep in the mall. The individual reported they were experiencing a sudden illness. EMS attended and transported the individual to hospital for medical care.
2021-000749,4/12/2021,9:24:00 AM,LASSONDE BUILDING,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000752,4/12/2021,9:55:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,"Security responded to a report that a known non-community member was loitering inside a second floor washroom. The individual, identified as a previously trespassed non-community member was cautioned and escorted off campus."
2021-000750,4/12/2021,10:12:00 AM,GLENDON COLLEGE - LOWER LOT HILL,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate damage to the parking gate arm located at the Lower Lot Hill. Parking Services was notified.
2021-000751,4/12/2021,2:07:00 PM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a basement level hallway. The individual was identified and escorted off campus.
2021-000754,4/12/2021,10:12:00 PM,LASSONDE BUILDING,"Disturbance, Causing",Loitering,Security responded to a report that a known non-community member was loitering in a basement level hallway. A description was obtained.
2021-000755,4/12/2021,11:16:00 PM,VARI HALL,"Disturbance, Causing",Loitering,Security responded to a report that a known trespasser was loitering in the building. A description was obtained.
2021-000756,4/13/2021,9:02:00 AM,YORK LANES OFFICES,Trespass to Property Act,Non-Community Member,"A Security patrol encountered a previously trespassed non-community member asleep inside a second floor office area. The individual was identified, cautioned and directed to leave campus."
2021-000758,4/13/2021,11:12:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male asleep inside a stairwell. The individual was identified as a previously trespassed non-community member and directed to leave campus.
2021-000757,4/13/2021,1:13:00 PM,CURTIS LECTURE HALLS,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a smoke detector malfunction"
2021-000760,4/13/2021,3:05:00 PM,YORK LANES OFFICES,Trespass to Property Act,Non-Community Member,"A Security patrol encountered two previously trespassed non-community members loitering inside the second floor offices area. They were identified, cautioned and directed to leave campus."
2021-000761,4/13/2021,3:16:00 PM,ALUMNI STADIUM PLAYING FIELD,Disorderly Behaviour,Unauthorized Activities,Security responded to a report that an unknown male was using the playing field without authorization. The individual was cautioned and left the without incident.
2021-000762,4/13/2021,4:31:00 PM,KEELE CAMPUS RESIDENCE,Mental Health Act,Community Member,Security and Toronto Police responded to investigate concerning comments made by a known community member. Toronto Police determined the individual was in distress and in need of medical care. The individual was taken into custody by police and transported to hospital for further medical care.
2021-000763,4/13/2021,5:14:00 PM,KEELE CAMPUS RESIDENCE,Information,Health & Safety Concern,Security and Toronto Police responded to check on the well-being of a family following a report of concerning behaviour. Toronto Police investigated and determined all was in order.
2021-000764,4/13/2021,8:53:00 PM,FOUNDERS RESIDENCE,Disorderly Behaviour,Unauthorized Activities,Security and Residence Life staff responded after CCTV captured a resident permit an unauthorized person entry through an emergency exit door. The resident was identified and cautioned.
2021-000766,4/13/2021,9:34:00 PM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered a smashed pane of glass in a fourth floor hallway. The Work Control Centre was notified.
2021-000862,4/13/2021,10:25:00 PM,VANIER COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and directed to leave campus.
2021-000768,4/14/2021,12:58:00 AM,VANIER RESIDENCE,Emergency Medical,Injury,Security provided first aid for a resident who sustained a minor injury to their finger. Further medical care was declined.
2021-000770,4/14/2021,7:54:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering inside a second floor washroom. The individual was identified and directed to leave campus.
2021-000772,4/14/2021,8:44:00 AM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a basement level hallway. The individual was identified and directed to leave campus.
2021-000773,4/14/2021,12:40:00 PM,340 ASSINIBOINE ROAD RESIDENCE,"Disturbance, Causing",Dispute,Security responded to a report of a dispute between two friends residing together. The involved parties were unable to resolve their issues and one individual agreed to leave the apartment.
2021-000774,4/14/2021,1:36:00 PM,PASSY RESIDENCE,Information,Health & Safety Concern,Security responded to check on the well- being of a resident. The individual was not located.
2021-000775,4/14/2021,2:48:00 PM,90 ATKINSON ROAD RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-000776,4/14/2021,4:23:00 PM,TAIT MCKENZIE BLDG,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate damage to a University street sign. The Work Control Centre was notified.
2021-000778,4/14/2021,4:27:00 PM,90 ATKINSON ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a bicycle that was secured to the bike rack located outside the residence. The lock had been cut.
2021-000777,4/14/2021,4:34:00 PM,PASSY RESIDENCE,Information,General Complaint\ Concern,A resident reported smoke from a BBQ being used in the courtyard was entering their apartment windows. The resident using the BBQ was compliant and relocated the BBQ without further incident.
2021-000780,4/14/2021,5:00:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was not determined.
2021-000779,4/14/2021,6:25:00 PM,YORK LANES RETAIL,Information,Health & Safety Concern,A Security patrol observed individuals inside a restaurant in contravention of provincial regulations regarding indoor dining. The restaurant staff were cautioned and directed to abide by the regulations.
2021-000781,4/14/2021,8:03:00 PM,STONG FARM HOUSE – BARN AREA,Disorderly Behaviour,Unauthorized Activities,"A Security patrol encountered a van parked at the Stong Barn. The driver, identified as a non-community member reported he had been given permission to remove pallets from the area. The claim could not be substantiated and the individual was directed to leave campus without the pallets. A licence plate number was obtained."
2021-000782,4/14/2021,8:47:00 PM,TATHAM HALL RESIDENCE,Smoking Complaint,Caution Issued,Security and Residence Life staff responded to a report of persons smoking inside a residence room. The occupants were identified and cautioned.
2021-000784,4/14/2021,8:52:00 PM,CAMPUS WALK,Harassment,General,A community member reported being approached by two unknown males while walking on Campus Walk south of Steacie Building. One of the males indicated they were conducting a survey followed by inappropriate comments when the complainant declined to participate. Descriptions of the males were obtained.
2021-000788,4/14/2021,10:32:00 PM,LIFE SCIENCES BUILDING,Damage,University Property,Security and Custodial Services responded to a report of a flood. A water leak originated inside a fourth floor lab and traveled to the floors below. Damage sustained to ceiling tiles.
2021-000786,4/14/2021,11:20:00 PM,GLENDON COLLEGE - PARKING LOT B,Suspicious Vehicle,Subject not Identified,A Security patrol observed a vehicle circling the upper campus roadways. The driver was cautioned and directed to leave the property. A licence plate number was obtained.
2021-000787,4/14/2021,11:21:00 PM,WILLIAM SMALL CENTRE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a second floor hallway. The individual was identified and directed to leave campus.
2021-000785,4/15/2021,12:03:00 AM,GLENDON COLLEGE - PARKING LOT F,Fire (Actual),Bonfire\Campfire,Security responded to a report of a group of individuals gathered around a bonfire in the lower lot area. The group was cautioned and directed to leave campus. The fire was extinguished.
2021-000789,4/15/2021,7:09:00 AM,ARBORETUM LANE,"Mischief, Under $5000",University Property,A Security patrol discovered several unauthorized posters on display for an off campus business. The Work Control Centre was notified.
2021-000791,4/15/2021,9:48:00 AM,GLENDON COLLEGE - CENTRE OF EXCELLENCE,"Disturbance, Causing",Dispute,Security responded to a report of a dispute between two individuals regarding the use of face coverings while inside the building. Both individuals were cautioned and requested to abide by public health and university guidelines.
2021-000793,4/15/2021,5:17:00 PM,GOLDFARB CENTRE FOR FINE ARTS,"Theft, Over $5000",University Property,Security and Toronto Police responded to a report of the theft of computer equipment from several secure rooms. Evidence of forced entry was observed. A description of a suspect was obtained.
2021-000792,4/15/2021,5:54:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Caution Issued,Security responded to a smoking complaint. The source of the smoking was located and the leaseholder cautioned.
2021-000795,4/15/2021,8:49:00 PM,PASSY RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-000796,4/15/2021,10:03:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Loitering,"Security responded to a report of two unknown females loitering in the second floor office area. Upon arrival, both individuals advised they were leaving and were escorted out of the building."
2021-000797,4/15/2021,10:11:00 PM,PASSY RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-000799,4/15/2021,11:53:00 PM,SCHULICH SCHOOL OF BUSINESS,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering in a basement level hallway. A description was obtained.
2021-000800,4/16/2021,8:33:00 AM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in the building. The individual was identified and directed to leave campus.
2021-000802,4/16/2021,11:57:00 AM,VARI HALL,"Disturbance, Causing",Loitering,Security responded to a report of unknown persons loitering inside a lecture hall control room. Personal property and discarded food and beverage containers were observed. The Work Control Centre was notified for clean up.
2021-000804,4/16/2021,3:52:00 PM,GOLDFARB CENTRE FOR FINE ARTS,"Theft, Under $5000",University Property,A Security patrol discovered two insecure second floor studios. Staff later confirmed video computer equipment had been stolen from both studios. There was no evidence of forced entry.
2021-000805,4/16/2021,5:48:00 PM,GOLDFARB CENTRE FOR FINE ARTS,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The lock had been tampered with and was secured.
2021-000807,4/17/2021,1:22:00 AM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate damage to an emergency light fixture located in a stairwell. Housing Services was notified.
2021-000808,4/17/2021,9:06:00 AM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering inside a stairwell. The individual was identified and directed to leave campus.
2021-000809,4/17/2021,10:57:00 PM,CENTRE FOR FILM and THEATRE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2021-000811,4/18/2021,12:44:00 AM,VANIER RESIDENCE,Smoking Complaint,Caution Issued,Security and Residence Life staff responded to a smoking complaint. The source of the smoke was located and determined to be a resident burning sage in their room. The community member was cautioned regarding a potential of a false fire alarm due to the smoke and was requested to burn the sage outside.
2021-000812,4/18/2021,12:10:00 PM,PASSY RESIDENCE,"Theft, Attempt",Private Property,"Complainant reported two unknown males were observed tampering with their bicycle that was secured to the bike rack outside the residence. When confronted by the complainant, the suspects fled on foot towards the Village. Descriptions of the suspects were obtained."
2021-000813,4/18/2021,2:17:00 PM,PASSY RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a food delivery package left unattended outside trier apartment door.
2021-000814,4/18/2021,3:22:00 PM,VARI HALL,Break & Enter,University Property,"Security and Toronto Police responded to investigate a break and enter to an office area. A description of a suspect was obtained. The suspect, identified as a known no-community member was arrested by police the following day."
2021-000815,4/18/2021,5:09:00 PM,CENTRE FOR FILM and THEATRE,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2021-000818,4/18/2021,9:18:00 PM,ROSS BUILDING - NORTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered evidence of an attempted forced entry to an eighth floor office. Access to the room was not gained. The Work Control Centre was notified.
2021-000820,4/19/2021,12:09:00 AM,WINTERS COLLEGE,Damage,University Property,A Security patrol observed damage to artwork on display in a first floor hallway. The cause of the damage was not determined.
2021-000821,4/19/2021,12:27:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be emanating from inside an apartment. The leaseholder was requested to lower the noise level.
2021-000823,4/19/2021,4:25:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered two insecure perimeter doors. The locks had been tampered with and were secured.
2021-000824,4/19/2021,5:13:00 PM,GOLDFARB CENTRE FOR FINE ARTS,"Theft, Under $5000",University Property,Security and Toronto Police responded to a report of the theft of computer equipment from a secure first floor studio. Evidence of forced entry was observed.
2021-000825,4/19/2021,8:37:00 PM,VARI HALL,"Mischief, Under $5000",University Property,Security and Toronto Police responded to investigate evidence of tampering observed on several second floor office doors. Pry marks were observed on several doors. A suspect was identified by police and their investigation is ongoing.
2021-000827,4/19/2021,9:56:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The lock had been tampered with and was secured.
2021-000835,4/20/2021,2:34:00 AM,VARI HALL,"Mischief, Under $5000",University Property,A Security patrol discovered graffiti written in the Rotunda and inside a stairwell. The Work Control Centre was notified.
2021-000840,4/20/2021,9:31:00 AM,320 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,A resident reported excessive noise emanating from the adjacent apartment. The resident declined Security to attend and was advised to file a complaint with Housing Services.
2021-000837,4/20/2021,10:02:00 AM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a basement level hallway. The individual was identified and directed to leave campus.
2021-000838,4/20/2021,2:50:00 PM,FOUNDERS RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a bicycle that was secured outside the residence. The lock had been cut.
2021-000842,4/20/2021,6:25:00 PM,PASSY RESIDENCE,Fire Alarm,Cooking Related,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be cooking related."
2021-000843,4/20/2021,6:49:00 PM,MCEWEN GRADUATE STUDY & RESEARCH BLDG,"Mischief, Under $5000",University Property,A Security patrol observed evidence of tampering to a second floor door. It did not appear access to the room was gained.
2021-000845,4/20/2021,9:14:00 PM,CENTRE FOR FILM and THEATRE,Damage,Private Property,A Security patrol observed damage to a point of sale computer located at a food services vendor. The cause of the damage was not determined.
2021-000847,4/20/2021,10:38:00 PM,YORK LANES OFFICES,"Mischief, Under $5000",University Property,"Custodial Services reported the misuse of a second floor washroom by unknown persons. Discarded food and beverages, hair clippings and feces were observed throughout the washroom."
2021-000852,4/21/2021,12:56:00 PM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a basement level hallway. The individual was identified and directed to leave campus.
2021-000853,4/21/2021,2:50:00 PM,ATKINSON ROAD,Motor Vehicle Incident,Dangerous Operation,"A community member reported a vehicle failed to abide by posted speed limit signs, drove at an excessive speed and narrowly missed hitting several pedestrians. A licence plate number was obtained."
2021-000855,4/21/2021,7:52:00 PM,VANIER RESIDENCE,Disorderly Behaviour,Unauthorized Activities,Security and Residence Life staff responded to an intrusion alarm and observed four residents using a basement level emergency exit door in contravention of residence policy. The individuals were identified and cautioned.
2021-000856,4/21/2021,9:00:00 PM,STONG COLLEGE,Disorderly Behaviour,Unauthorized Activities,Security responded to a report of a group of individuals playing Cricket inside the dining hall. The group was cautioned and left the building without incident.
2021-000857,4/22/2021,10:17:00 AM,320 ASSINIBOINE ROAD RESIDENCE,Information,Health & Safety Concern,Security responded to check on the well- being of a resident. The individual was located and all was reported to be in order.
2021-000858,4/22/2021,11:12:00 AM,LASSONDE BUILDING,Fire Alarm,Other Emergency,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a power outage in the building."
2021-000860,4/22/2021,3:52:00 PM,320 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a food delivery package left unattended in the residence lobby.
2021-000868,4/23/2021,9:08:00 AM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a basement level hallway. The individual was identified and directed to leave campus.
2021-000871,4/23/2021,8:58:00 PM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a second floor office area. The individual was identified and directed to leave campus.
2021-000878,4/23/2021,11:49:00 PM,320 ASSINIBOINE ROAD RESIDENCE,"Disturbance, Causing",Dispute,"Security responded to a report of a dispute between two residents regarding the use of face coverings while inside public spaces. Both individuals were identified, cautioned and requested to abide by public health and university guidelines."
2021-000876,4/24/2021,12:30:00 AM,PASSY RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-000880,4/24/2021,5:47:00 PM,PARKING LOT - SHOREHAM DRIVE RESERVED,Motor Vehicle Incident,Collision \No Injuries,A non-community member reported they struck and damaged a university parking lot sign while attempting to park their vehicle. No injuries or personal property damage were reported.
2021-000885,4/25/2021,12:12:00 AM,STONG COLLEGE,Disorderly Behaviour,Unauthorized Activities,"A Security patrol encountered a group of unknown individuals gathered in the dining hall in contravention of Toronto Public Health guidelines and University policy. Upon approach, the group quickly dispersed and left several food and beverage containers behind. The Work Control Centre was notified for clean up."
2021-000886,4/25/2021,8:49:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be loud music emanating from inside an apartment. The leaseholder was cautioned and requested to lower the noise level.
2021-000887,4/25/2021,4:05:00 PM,FOUNDERS RESIDENCE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2021-000890,4/25/2021,9:22:00 PM,STONG RESIDENCE,Disorderly Behaviour,Unauthorized Activities,A Security patrol observed a resident and a guest using an emergency exit door without authorization. The individuals were identified and cautioned. Residence Life staff was notified.
2021-000891,4/25/2021,10:25:00 PM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in a stairwell. The individual was identified and directed to leave campus.
2021-000892,4/25/2021,10:52:00 PM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was located and the leaseholder requested to lower the noise level.
2021-000894,4/26/2021,8:18:00 AM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered a smashed pane of glass in the main entrance door. The Work Control Centre was notified.
2021-000896,4/26/2021,1:15:00 PM,340 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a package that was delivered and left unattended in the lobby.
2021-000899,4/26/2021,4:46:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Common Nuisance,Security responded to the Medical Centre for a report that a community member had caused a disturbance and refused to leave when directed. The community member was identified and left without further incident.
2021-000898,4/26/2021,5:32:00 PM,SCOTT RELIGIOUS CENTRE,"Mischief, Under $5000",University Property,A Security patrol discovered several unauthorized posters on display in the building. The Work Control Centre was notified.
2021-000900,4/26/2021,8:54:00 PM,VARI HALL,Trespass to Property Act,Non-Community Member,"A Security patrol encountered a previously trespassed non-community member smoking in the building. The individual was identified, cautioned and directed to leave campus."
