Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2019-000294,1/27/2019,10:45:00 AM,CALUMET RESIDENCE,Disorderly Behaviour,Intoxicated Person,Security and Residence Life staff responded to a report that an intoxicated community member was causing a disturbance in the Calumet Courtyard. The community member was identified. Security escorted the community member to their on campus residence where they were left in the care of Residence Life staff.
2019-000293,1/27/2019,11:15:00 AM,YORK LANES RETAIL,Weapon,Possession for a Dangerous Purpose,"Security and Toronto Police responded to a report of a dispute between two males. One male was reported to be in possession of a firearm. The suspect, identified as a non- community member, was arrested by Police without incident."
2019-000295,1/27/2019,5:28:00 PM,PARKING GARAGE ARBORETUM LANE,Damage,University Property,A Security patrol discovered a damaged parking gate arm. Parking Services was notified.
2019-000296,1/27/2019,9:08:00 PM,HARRY ARTHURS COMMON,"Theft, Under $5000",Private Property,Complainant reported the theft of a bicycle that was secured to a bike rack on the Harry Arthur's Common.
2019-000299,1/28/2019,12:41:00 AM,VANIER RESIDENCE,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2019-000300,1/28/2019,7:52:00 AM,CENTRAL SQUARE,"Disturbance, Causing",Loitering,"A Security patrol encountered a non- community member asleep in the building. The individual was identified and cautioned. Due to the extreme cold weather, the individual was permitted to remain in common areas."
2019-000301,1/28/2019,12:13:00 PM,OTTAWA ROAD,Motor Vehicle Incident,Fail to Remain,Complainant reported their vehicle was struck and damaged while parked on Ottawa Road.
2019-000302,1/28/2019,12:47:00 PM,LUMBERS BUILDING,"Disturbance, Causing",Loitering,Security responded to a report that a known non-community member was loitering inside a second floor lounge. The individual was identified and directed to leave the building.
2019-000304,1/28/2019,2:30:00 PM,CAMPUS WALK,Motor Vehicle Incident,Fail to Obey Regulatory Signs,A Security patrol encountered a vehicle being operated on Campus Walk. The driver of the vehicle was identified and cautioned.
2019-000305,1/28/2019,5:15:00 PM,GLENDON COLLEGE - CENTRE OF EXCELLENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of eyewear left unattended in a second floor classroom.
2019-000306,1/28/2019,11:11:00 PM,KEELE CAMPUS RESIDENCE,Emergency Medical,Existing Medical Condition,Security and Residence Life staff responded to assist a community member who was in distress. Medical care was declined and the individual was left in the care of Residence Life staff.
2019-000307,1/29/2019,1:00:00 AM,HARRY ARTHURS COMMON,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report that a university snow removal vehicle had overturned on the Harry Arthurs Common. No injuries were reported.
2019-000310,1/29/2019,9:03:00 AM,WILLIAM SMALL CENTRE,Emergency Medical,Existing Medical Condition,Security responded to a report of a community member in distress. Medical care was declined. The individual was provided information on supports and was assisted in attending counseling services.
2019-000309,1/29/2019,9:18:00 AM,LASSONDE BUILDING,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2019-000311,1/29/2019,12:11:00 PM,ACCOLADE WEST,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing a sudden illness. EMS transported the individual to hospital for further medical care.
2019-000312,1/29/2019,1:21:00 PM,YORK LANES RETAIL,"Theft, Under $5000",University Property,Complainant reported the theft of a laptop computer left unattended on the first floor. A description of the suspect was obtained.
2019-000314,1/29/2019,2:50:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a wallet left unattended in the fieldhouse.
2019-000316,1/29/2019,2:59:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fourth floor.
2019-000315,1/29/2019,3:19:00 PM,SCOTT LIBRARY - LOADING DOCK,Suspicious Persons,Subject not Identified,Security responded to a report that an unknown male attempted to gain entry to a contractor vehicle that was parked in the loading dock. The suspect fled in a vehicle when confronted. A licence plate number was obtained.
2019-000318,1/29/2019,3:19:00 PM,CENTRAL SQUARE,Harassment,General,A community member reported being harassed on several occasions by an unknown male. A description of the suspect was obtained.
2019-000319,1/29/2019,3:41:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fourth floor.
2019-000320,1/29/2019,8:37:00 PM,KEELE CAMPUS RESIDENCE,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a community member in distress. EMS transported the individual to hospital for further medical care.
2019-000321,1/29/2019,9:30:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the second floor.
2019-000322,1/29/2019,10:04:00 PM,SCOTT RELIGIOUS CENTRE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in the building. The individual was identified and escorted out of the building.
2019-000324,1/29/2019,11:50:00 PM,WINTERS RESIDENCE,Emergency Medical,Slip\Trip\Fall,Security responded to assist a community member who sustained an injury after a slip and fall incident in the residence. First aid was provided on scene. Further medical care was advised.
2019-000325,1/30/2019,1:17:00 AM,SECOND STUDENT CENTRE,"Mischief, Under $5000",University Property,A Security patrol discovered damage to a second floor conference room door.
2019-000326,1/30/2019,1:48:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was observed in the building. The individual fled on foot when approached. A description was obtained.
2019-000327,1/30/2019,3:55:00 AM,380 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,Security and Toronto Police responded to a noise complaint. All was quiet and appeared to be in order.
2019-000328,1/30/2019,9:10:00 AM,ROSS BUILDING,"Mischief, Under $5000",University Property,A Security patrol discovered an elevator car had been defaced with several unauthorized stickers. The Work Control Centre was notified for removal.
2019-000329,1/30/2019,11:05:00 AM,PARKING GARAGE - YORK LANES (PS1),Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a single vehicle collision in the parking garage. No injuries were reported. Damage was sustained to the involved vehicle and university parking gate equipment.
2019-000333,1/30/2019,2:36:00 PM,GLENDON COLLEGE - CENTRE OF EXCELLENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing a sudden illness. EMS transported the individual to hospital for further medical care.
2019-000334,1/30/2019,5:44:00 PM,FIRST STUDENT CENTRE,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was acting in a belligerent manner towards several community members. The non-community member was identified and escorted off campus.
2019-000343,1/30/2019,5:49:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a basement level classroom.
2019-000337,1/30/2019,8:54:00 PM,IAN MAC BLVD and THE CHIMNEYSTACK ROAD,Disorderly Behaviour,Fighting,Security and Toronto Police responded to a report of an altercation aboard a Zum transit bus. The individuals involved fled on foot. Descriptions were obtained.
2019-000336,1/30/2019,9:09:00 PM,VANIER RESIDENCE,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
2019-000338,1/31/2019,9:06:00 AM,CENTRAL SQUARE,Emergency Medical,Existing Medical Condition,Security and EMS responded to assist a non-community member who appeared to be in distress. EMS transported the individual to hospital for further medical care.
2019-000340,1/31/2019,11:49:00 AM,WINTERS COLLEGE,Information,General Complaint- Concern,Security and Toronto Police responded to check on the well-being of a community member after several concerning email messages referencing the community member were received at a University office.
2019-000339,1/31/2019,12:29:00 PM,MCLAUGHLIN COLLEGE,Smoking Complaint,Subject Not Identified,A community member reported an ongoing issue of community members smoking cannabis in a stairwell.
2019-000341,1/31/2019,1:16:00 PM,GOLDFARB CENTRE FOR FINE ARTS,Damage,University Property,A community member reported damage to a university sign on the basement level. The Work Control Centre was notified.
2019-000342,1/31/2019,2:49:00 PM,SECOND STUDENT CENTRE,Emergency Medical,Existing Medical Condition,"Security, Toronto Fire and EMS responded to a report of an individual experiencing symptoms of an allergic reaction. The individual, identified as a community member, was transported to hospital for further medical care."
2019-000344,1/31/2019,5:20:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of clothing items and electronics from a secure locker.
2019-000345,1/31/2019,7:51:00 PM,ACCOLADE EAST,"Disturbance, Causing",Common Nuisance,Security responded to a report that a community member caused a disturbance during an exam session.
2019-000346,1/31/2019,8:34:00 PM,WILLIAM SMALL CENTRE,"Theft, Under $5000",University Property,A community member reported the theft of a vacuum cleaner from a secure storage room.
2019-000348,1/31/2019,9:36:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2019-000349,1/31/2019,11:40:00 PM,PARKING GARAGE - YORK LANES (PS1),Motor Vehicle Incident,Collision \No Injuries,Security responded to a single vehicle collision in the parking garage. No injuries were reported.
2019-000354,2/1/2019,7:33:00 AM,ROSS BUILDING,Suspicious Persons,Subject not Identified,Security responded to a report that a community member encountered an unknown male on the seventh floor who was acting in a concerning manner. A description of the male was obtained.
2019-000355,2/1/2019,8:09:00 AM,VARI HALL,"Disturbance, Causing",Loitering,Security responded to a report that an unknown male has been loitering inside a third floor classroom for several days. A description of the male was obtained.
2019-000352,2/1/2019,10:23:00 AM,SCOTT LIBRARY,Disorderly Behaviour,Belligerent Person,Security responded to a report of a disturbance on the first floor. A community member was acting in a belligerent manner towards staff. The community member was identified and cautioned.
2019-000351,2/1/2019,10:34:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was causing a disturbance on the first floor. The individual was identified and escorted off campus.
2019-000356,2/1/2019,12:09:00 PM,GLENDON COLLEGE - PROCTOR FIELD HOUSE,Fire Alarm,Contractor- Maintenance,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be contractors working in the building.
2019-000357,2/1/2019,1:32:00 PM,SCOTT LIBRARY,Harassment,General,Security responded to a report that an unknown male harassed several female community members in the library. A description of the suspect was obtained.
2019-000358,2/1/2019,2:26:00 PM,"HEALTH, NURSING and ENVIRONMENTAL STUDIES",Fire Alarm,Unknown Cause,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined."
2019-000359,2/1/2019,3:37:00 PM,FIRST STUDENT CENTRE,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of an unconscious female inside a first floor washroom. The individual was identified as a community member. EMS transported the community member to hospital for further medical care."
2019-000360,2/1/2019,5:15:00 PM,PARKING GARAGE - YORK LANES (PS1),Motor Vehicle Incident,Fail to Remain,Complainant reported their vehicle was struck and damaged while parked in the garage.
2019-000361,2/1/2019,5:50:00 PM,CENTRAL SQUARE,Harassment,General,A community member reported ongoing harassment by an unknown male. A description of the male was obtained.
2019-000363,2/1/2019,6:47:00 PM,NORMAN BETHUNE RESIDENCE,Information,General Complaint - Concern,A community member reported another community member wrote an offensive message on a residence room white board.
2019-000364,2/1/2019,7:40:00 PM,GLENDON COLLEGE - HILLIARD RESIDENCE,Damage,University Property,Security responded to a report of drywall damage inside a first floor room. The cause of the damage was not determined. The Work Control Centre was notified.
2019-000366,2/2/2019,1:54:00 AM,WINTERS COLLEGE,Emergency Medical,Sudden Illness,"Security, Toronto Police and EMS responded to a report of an intoxicated and unconscious individual inside a basement level washroom. The individual was identified as a community member. EMS transported the individual to hospital for further medical care."
2019-000365,2/2/2019,2:12:00 AM,WINTERS COLLEGE,Emergency Medical,Slip\Trip\Fall,EMS responded to assist a community member with a foot injury. EMS transported the individual to hospital for further medical care.
2019-000367,2/2/2019,12:12:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2019-000369,2/2/2019,1:49:00 PM,FARQUHARSON BUILDING,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2019-000371,2/2/2019,2:47:00 PM,TAIT MCKENZIE BLDG,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report that a community member became ill while in the fitness centre. EMS transported the individual to hospital for further medical care."
2019-000373,2/2/2019,7:34:00 PM,TATHAM HALL RESIDENCE,Emergency Medical,Injury,Security responded to a report that a community member sustained a laceration to their finger. First aid was provided on scene. EMS was declined and the individual was transported to hospital by another community member.
2019-000374,2/2/2019,8:44:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Fire Alarm,Other Emergency,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a burst pipe.
2019-000375,2/2/2019,9:33:00 PM,GLENDON COLLEGE - GLENCON HALL,Suspicious Persons,Subject Identified,A Security patrol encountered an unknown male inside a secure room. The male refused to provide identification and was escorted out of the building.
2019-000377,2/3/2019,12:37:00 AM,FIRST STUDENT CENTRE,Trespass to Property Act,Non-Community Member,"A Security patrol encountered a non- community member asleep in the building. The individual was identified and cautioned. Due to the extreme cold weather, the individual was permitted to remain in common areas."
2019-000376,2/3/2019,12:53:00 AM,380 ASSINIBOINE ROAD RESIDENCE,Fire (Actual),Unintentional,Security responded to a report of smoke in the second floor hallway. The source of the smoke was determined to be cooking related. No injuries were reported.
2019-000378,2/3/2019,6:12:00 AM,WINTERS RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered a fire extinguisher had been discharged without cause on the fourth floor. Residence Life and York Fire Prevention were notified.
2019-000380,2/3/2019,11:30:00 AM,STONG COLLEGE,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a community member was feeling ill. EMS assessed the individual on scene. Further medical care was declined.
2019-000382,2/3/2019,7:58:00 PM,KEELE CAMPUS RESIDENCE,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of a community member experiencing a sudden illness. EMS transported the individual to hospital for further medical care."
2019-000383,2/3/2019,8:21:00 PM,KEELE CAMPUS,Harassment,Electronic,A community member reported a concern for their well-being after an unknown male made several concerning comments on social media that refer to the complainant.
2019-000384,2/3/2019,9:00:00 PM,GOLDFARB CENTRE FOR FINE ARTS,"Mischief, Under $5000",University Property,Security responded to a report of smoke in the lobby. The source of the smoke was determined to be a fire in a microwave. A suspect was identified.
2019-000385,2/3/2019,10:44:00 PM,FOUNDERS RESIDENCE,Smoking Complaint,Caution Issued,A security patrol encountered two community members smoking inside a stairwell. The community members were identified and cautioned. Residence Life staff were notified.
2019-000386,2/3/2019,11:18:00 PM,STEDMAN LECTURE HALLS,Smoking Complaint,Caution Issued,"Security responded to a smoking compliant. A group of non community members were found smoking and consuming alcohol in a classroom. The group had dispersed on arrival, however, a previously trespassed non-community member was identified and escorted off campus."
2019-000387,2/4/2019,3:08:00 AM,WILLIAM SMALL CENTRE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2019-000388,2/4/2019,9:16:00 AM,GOLDFARB CENTRE FOR FINE ARTS,"Mischief, Under $5000",University Property,Security responded to a report of damaged fixtures in the first floor common area.
2019-000389,2/4/2019,9:28:00 AM,BENNETT CENTRE FOR STUDENT SERVICES,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
2019-000390,2/4/2019,11:51:00 AM,SECOND STUDENT CENTRE,"Mischief, Under $5000",Private Property,Complainant reported a second floor storage room door had been tampered with.
2019-000391,2/4/2019,11:56:00 AM,CALUMET COLLEGE,Emergency Medical,Sudden illness,Security responded to a report of an ill community member. EMS was declined.
2019-000394,2/4/2019,7:25:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of a backpack left unattended in a second floor classroom. A description of a suspect was obtained.
2019-000395,2/4/2019,9:56:00 PM,ACCOLADE EAST,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
2019-000397,2/5/2019,7:54:00 AM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was observed in the building. The individual was identified and escorted off campus.
2019-000398,2/5/2019,10:40:00 AM,90 ATKINSON ROAD RESIDENCE,"Disturbance, Causing",Dispute,Security and Toronto Police responded to a report of a disturbance between two individuals inside an apartment. All appeared quiet and in order.
2019-000399,2/5/2019,11:42:00 AM,CENTRAL SQUARE,Harassment,General,A community member reported ongoing harassment by an unknown male. A description of the suspect was obtained.
2019-000400,2/5/2019,12:24:00 PM,CENTRE FOR FILM and THEATRE,"Mischief, Under $5000",University Property,Security responded to a report that several offensive posters were observed on the first floor. The Work Control Centre was notified for removal.
2019-000402,2/5/2019,1:05:00 PM,GOLDFARB CENTRE FOR FINE ARTS,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a community member experiencing abdominal pain. EMS transported the individual to hospital for further medical care.
2019-000401,2/5/2019,1:27:00 PM,GLENDON COLLEGE - YORK HALL,Disorderly Behaviour,Belligerent Person,Complainant reported a community member acted in a belligerent manner during an exam session.
2019-000404,2/5/2019,2:28:00 PM,CURTIS LECTURE HALLS,Mental Health Act,Community Member,Security and Toronto Police responded to a report that a community member was in distress and exhibiting concerning behaviour. The individual was taken into custody by Police and transported to hospital for further medical care.
2019-000406,2/5/2019,5:40:00 PM,PARKING LOT 1 - YORK BLVD NORTH OUTER RESERVED,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report that a community member slipped and fell in the parking lot and sustained a head injury. EMS transported the individual to hospital for further medical care.
2019-000407,2/5/2019,10:49:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2019-000409,2/5/2019,11:12:00 PM,TATHAM HALL RESIDENCE,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report that a community member lost consciousness. EMS transported the individual to hospital for further medical care.
2019-000408,2/6/2019,12:09:00 AM,CURTIS LECTURE HALLS,Disorderly Behaviour,Unauthorized Activities,Security responded to a report of a group of individuals skateboarding inside the building. Members of the group refused to provide identification and they were escorted out of the building.
2019-000410,2/6/2019,7:27:00 AM,VANIER COLLEGE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was determined to be individuals smoking in a nearby stairwell. The area was vacant upon arrival.
2019-000411,2/6/2019,9:04:00 AM,ATKINSON ROAD,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a collision between a university snow removal vehicle and a parked vehicle. No injuries were reported.
2019-000412,2/6/2019,1:55:00 PM,VANIER COLLEGE,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was loitering inside a washroom. The individual was identified and escorted off campus.
2019-000413,2/6/2019,2:30:00 PM,MCLAUGHLIN COLLEGE,Smoking Complaint,Subject Not Identified,"A Security patrol encountered a group of individuals smoking in a common room. The individuals, all identified as non- community members, were cautioned and escorted off campus."
2019-000416,2/6/2019,8:12:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Dispute,Security responded to a report of a dispute between a group of individuals inside a restaurant. Description of the individuals were obtained.
2019-000414,2/6/2019,10:55:00 PM,NORMAN BETHUNE RESIDENCE,Emergency Medical,Slip\Trip\Fall,Security and Residence Life staff responded to a report that a community member fainted and fell in a stairwell. No injuries were reported. Medical care was declined
2019-000415,2/6/2019,11:34:00 PM,YORK LANES OFFICES,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in a third floor office area. The male was identified and escorted off campus.
2019-000417,2/7/2019,4:27:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was in the building. The individual was identified and escorted off campus.
2019-000419,2/7/2019,7:49:00 AM,ACCOLADE EAST,Hazardous Substance,Unfounded,"Security, Toronto Fire, Toronto Police and EMS responded to a report that an unknown substance was discovered inside a second floor room. Toronto Fire tested and determined the substance was not a hazard."
2019-000421,2/7/2019,12:31:00 PM,SCOTT LIBRARY,"Theft, Under $5000",University Property,Complainant reported the theft of computer equipment from a first floor computer room.
2019-000438,2/7/2019,1:39:00 PM,OBSERVATORY LANE,Hate Incident,Non- Threatening,A community member reported an unknown male in a vehicle uttered a hate based comment towards them. Descriptions of the vehicle and the driver were obtained.
2019-000420,2/7/2019,1:44:00 PM,KEELE CAMPUS,Suspicious Persons,Subject not Identified,A community member reported being followed on several occasions by an unknown male. A description of the male was obtained.
2019-000439,2/7/2019,2:40:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2019-000422,2/7/2019,3:11:00 PM,PARKING LOT 8 - SENTINEL ROAD EAST RESERVED,Motor Vehicle Incident,Fail to Remain,Security responded to a report that a vehicle struck and damaged a parking gate arm. Parking Services was notified.
2019-000424,2/7/2019,3:49:00 PM,STONG COLLEGE,"Disturbance, Causing",Common Nuisance,Security responded to a report that an individual made concerning comments during a class. The individual was identified as community member and was cautioned on their inappropriate behaviour.
2019-000423,2/7/2019,4:34:00 PM,ATKINSON COLLEGE,Emergency Medical,Slip\Trip\Fall,"Security, Toronto Fire and EMS responded to a report that a community member slipped and fell on the west entrance stairway and sustained a head injury.
EMS transported the individual to hospital for further medical care."
2019-000426,2/7/2019,9:05:00 PM,NORMAN BETHUNE RESIDENCE,Emergency Medical,Sudden Illness,"Security, Residence Life staff and EMS responded to a report that a community member fainted. EMS transported the individual to hospital for further medical care."
2019-000427,2/7/2019,10:42:00 PM,STONG RESIDENCE,Smoking Complaint,Caution Issued,Security and Residence Life staff responded to a smoking complaint. The source of the smoke was located. Three community members were identified and cautioned.
2019-000428,2/8/2019,12:52:00 AM,STONG RESIDENCE,Emergency Medical,Sudden Illness,"Security, Residence Life staff, Toronto Police and EMS responded to a report that a community member became ill after consuming an excessive quantity of alcohol. EMS transported the individual to hospital for further medical care."
2019-000429,2/8/2019,2:17:00 AM,NORMAN BETHUNE RESIDENCE,Fire Alarm,Malicious Activation,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station.
2019-000430,2/8/2019,4:55:00 AM,ROSS BUILDING - NORTH TOWER,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2019-000432,2/8/2019,8:19:00 AM,MCLAUGHLIN COLLEGE,Fire Alarm,Contractor - Maintenance,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be contractors conducting system maintenance.
2019-000431,2/8/2019,8:37:00 AM,VARI HALL,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a classroom.
2019-000433,2/8/2019,10:42:00 AM,VANIER LANE,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report that a delivery vehicle struck and damaged a gate arm. No injuries were reported. Parking Services was notified.
2019-000434,2/8/2019,11:44:00 AM,VANIER COLLEGE,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was loitering inside a first floor washroom. The individual was identified and escorted off campus.
2019-000436,2/8/2019,1:17:00 PM,ROSS BUILDING - SOUTH TOWER,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report that a community member experienced a seizure. EMS treated the individual on scene and transported them to hospital for further medical care.
2019-000437,2/8/2019,4:24:00 PM,PARKING LOT - FOUNDERS ROAD WEST,"Mischief, Under $5000",Private Property,Complainant reported their vehicles passenger side mirror was struck and damaged while parked in the lot.
2019-000440,2/8/2019,4:39:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on 5th floor.
2019-000441,2/8/2019,4:44:00 PM,CHEMISTRY BUILDING,Harassment,General,A community member reported ongoing unwanted attention by another community member.
2019-000442,2/8/2019,7:18:00 PM,TAIT MCKENZIE BLDG,Damage,Private Property,A community member reported their cellular phone was damaged when an unknown male dropped a piece of equipment on it. A description of the male was obtained.
2019-000443,2/8/2019,8:59:00 PM,COMMON ROAD,Emergency Medical,Slip\Trip\Fall,Security responded to provide first aid for a community member who fell and sustained an injury. Further medical care was declined.
2019-000444,2/8/2019,11:03:00 PM,380 ASSINIBOINE ROAD RESIDENCE,Domestic Dispute,Community Member,Security and Toronto Police responded to a report of a disturbance in the residence. Two community members were involved in a domestic dispute. They were identified and directed to separate for the night. No injuries were reported.
2019-000446,2/8/2019,11:07:00 PM,CENTRAL SQUARE,Suspicious Persons,Subject not Identified,A community member reported an unknown male acting in a suspicious manner. A description of the male was obtained.
2019-000445,2/9/2019,1:00:00 AM,TATHAM HALL RESIDENCE,Emergency Medical,Injury,Security and EMS responded to a report that a community member fell and sustained a laceration. First aid was provided on scene. Further medical care was declined.
2019-000447,2/9/2019,1:04:00 PM,YORK LIONS STADIUM,Trespass to Property Act,Non-Community Member,Security responded to a report that an unknown male was observed setting fire to debris outside the stadium. The male was identified as a previously trespassed non- community member and was escorted off campus. No injuries or damage were reported.
2019-000448,2/9/2019,7:28:00 PM,ACCOLADE WEST,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of a community member experiencing symptoms of an existing medical condition. EMS treated the individual on scene. Further medical care was declined."
2019-000449,2/9/2019,11:29:00 PM,CURTIS LECTURE HALLS,"Disturbance, Causing",Panhandling,A group of community members reported an unknown male panhandling inside the building. A description of the male was obtained
2019-000451,2/10/2019,3:29:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2019-000452,2/11/2019,8:08:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,A Security patrol encountered an individual loitering inside a washroom. The individual was identified as a non-community member and was directed to leave the building.
2019-000456,2/11/2019,11:06:00 AM,FINE ARTS ROAD,Motor Vehicle Incident,Fail to Obey Regulatory Signs,A community member reported they were nearly struck when a vehicle failed to stop at a pedestrian crosswalk. A licence plate number was obtained.
2019-000453,2/11/2019,11:17:00 AM,PETRIE SCIENCE and ENGINEERING,"Mischief, Under $5000",University Property,Security responded to a report that a perimeter door lock had been tampered with. The Work Control Centre was notified.
2019-000454,2/11/2019,12:36:00 PM,CHEMISTRY BUILDING,"Disturbance, Causing",Loitering,Complainant reported an unknown male was asleep inside a third floor office. A description of the male was obtained.
2019-000455,2/11/2019,1:06:00 PM,OTTAWA ROAD,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report that a community fell and sustained an injury. First aid was provided on scene. Further medical care was declined.
2019-000460,2/11/2019,1:57:00 PM,GLENDON COLLEGE - YORK HALL,Harassment,By Email\Text Message,Complainant reported receiving concerning email messages from a community member.
2019-000458,2/11/2019,2:25:00 PM,KANEFF TOWER,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing a sudden illness. EMS transported the individual to hospital for further medical care.
2019-000468,2/11/2019,7:23:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Suspicious Persons,Subject not Identified,Security responded to a report that an unknown male was attempting to sell cannabis in a stairwell. The male refused to provide identification and was escorted off campus.
2019-000461,2/11/2019,7:40:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a jacket left unattended in the Field House.
2019-000462,2/11/2019,10:01:00 PM,SCOTT LIBRARY,Indecent Exposure,Subject not Identified,Security responded to a report that a community member observed an unknown male exposing himself inside a second floor study room. A description of the male was obtained.
2019-000463,2/11/2019,10:19:00 PM,YORK LANES RETAIL,Assault,Common,Security and Toronto Police responded to a report of an altercation in progress that involved three unknown males. One individual reported he had been assaulted by an unknown male who was no longer on scene. No injuries were reported. The suspect was arrested by Police a short time later.
2019-000464,2/12/2019,12:21:00 AM,PARKING GARAGE - STUDENT SERVICES (PS3),"Mischief, Under $5000",University Property,Security responded to a report of a damaged parking gate arm. Parking Services was notified.
2019-000465,2/12/2019,11:07:00 AM,90 ATKINSON ROAD RESIDENCE,Emergency Medical,Injury,Security and EMS responded to a report that a community member had sustained an injury. EMS transported the individual to hospital for further medical care.
